total time; actions generated on main search; total time search keeper; actions generated on search keeper
0.010154962539672852;110;0.007208585739135742;1152
0.002942323684692383;48;0.0017549991607666016;1444
0.026684284210205078;87;0.018471240997314453;2352
0.03965568542480469;320;0.02888774871826172;6452
0.012346744537353516;71;0.008190631866455078;6976
0.028185367584228516;85;0.01831674575805664;7648
0.02498626708984375;145;0.016373395919799805;8828
0.035652875900268555;226;0.026214122772216797;11324
0.03766584396362305;349;0.026246309280395508;14392
0.02014899253845215;198;0.013432979583740234;16140
0.009382486343383789;44;0.006154537200927734;16608
0.03127551078796387;164;0.022288084030151367;18716
0.020078659057617188;91;0.015017271041870117;20012
0.03241896629333496;200;0.023041486740112305;22644
0.011756181716918945;89;0.009032726287841797;24148
0.02533888816833496;152;0.017556190490722656;25824
0.04672503471374512;376;0.031263113021850586;28972
0.0020160675048828125;21;0.0010004043579101562;29072
0.022545814514160156;245;0.01356053352355957;30564
0.023786067962646484;130;0.01672506332397461;32284
0.07366228103637695;626;0.05289316177368164;38884
0.01869511604309082;94;0.013137102127075195;39972
0.0706946849822998;1041;0.048619747161865234;47540
0.06886076927185059;832;0.045510292053222656;54364
0.01485586166381836;82;0.011138200759887695;55336
0.08140301704406738;832;0.06055140495300293;65620
0.05592036247253418;516;0.03858637809753418;70184
0.06000328063964844;397;0.04477548599243164;75136
0.054656267166137695;484;0.04139113426208496;81252
0.0634918212890625;549;0.047829627990722656;88296
0.07295846939086914;764;0.05229330062866211;96792
0.015444755554199219;125;0.009450435638427734;97680
0.09227633476257324;794;0.07187891006469727;109300
0.0289614200592041;179;0.01960277557373047;110976
0.0227203369140625;286;0.012603282928466797;112580
0.06409525871276855;764;0.043769121170043945;118940
0.07440757751464844;632;0.05499672889709473;126328
0.029369831085205078;182;0.021155357360839844;128668
0.15177249908447266;1650;0.10128355026245117;142436
0.026744365692138672;243;0.020065784454345703;145892
0.39137721061706543;4012;0.27905821800231934;188144
0.06606626510620117;672;0.044976234436035156;194588
0.06736946105957031;745;0.040384531021118164;199808
0.05518913269042969;605;0.03932452201843262;206516
0.029459714889526367;261;0.0185701847076416;209004
0.11737775802612305;1311;0.0791466236114502;220808
0.15618467330932617;1865;0.10759592056274414;236756
0.20184016227722168;2342;0.1430988311767578;259908
0.04902815818786621;321;0.03274273872375488;264084
0.07300591468811035;1055;0.03902935981750488;269312
0.08327579498291016;819;0.06152486801147461;279668
0.019135475158691406;152;0.014085531234741211;282136
0.12944698333740234;983;0.10397791862487793;300208
0.5216503143310547;4040;0.4078071117401123;366004
0.17101478576660156;2155;0.11690521240234375;385228
0.5042135715484619;5388;0.36918044090270996;446376
4.356764316558838;37104;3.3161849975585938;979580
0.09633898735046387;765;0.07300257682800293;991520
0.07613468170166016;685;0.05877542495727539;1000188
0.13557195663452148;1557;0.093170166015625;1015280
0.17450428009033203;1099;0.14833831787109375;1039804
1.9344384670257568;17096;1.449209213256836;1277440
0.11586403846740723;1286;0.06994819641113281;1288916
0.0976262092590332;1269;0.05818653106689453;1297384
0.050119638442993164;449;0.03505563735961914;1303132
2.3879692554473877;24606;1.6530842781066895;1569276
0.4053363800048828;4129;0.2788987159729004;1612928
44.93364882469177;464643;30.77121329307556;6380544
2.228398084640503;17855;1.7234954833984375;6646808
6.2314133644104;50121;4.811166763305664;7416332
0.11556458473205566;1202;0.0781087875366211;7428808
1.5968711376190186;11739;1.2109794616699219;7611624
10.929464340209961;82814;8.471178531646729;8974452
1.128647804260254;11640;0.7765510082244873;9096596
